Year,Lender_LEI,State,County_Code,Census_Tract,Approved,Denied,Race,Sex,Income,Log_Income,Loan_Amount,Log_Loan_Amount,LTV,Loan_Type,DTI_Ratio,preapproval,Occupancy_Type,Index
2019,549300KBWX4NV5Q1E376,IL,17089.0,17089850701.0,1,0,0_White,0_Male,141.0,4.948759890378168,295000.0,12.594730635321957,85.0,Conventional,39,2,1,351116
2019,549300HGDJQ37M5BE268,IL,17139.0,17139976900.0,1,0,0_White,Female,57.0,4.04305126783455,125000.0,11.736069016284437,95.0,Conventional,30%-<36%,2,1,115870
2019,549300VJ7C5JB4W87F48,IL,17043.0,17043841205.0,1,0,0_White,0_Male,117.0,4.762173934797756,175000.0,12.072541252905651,96.5,FHA,46,2,1,371380
2019,549300J7XKT2BI5WX213,IL,17179.0,17179022400.0,1,0,0_White,0_Male,99.0,4.59511985013459,145000.0,11.884489021402711,80.0,Conventional,0%-20%,2,1,463680
2019,SS1TRMSN6BRNMOREEV51,IL,17031.0,17031560800.0,1,0,Latinx,0_Male,85.0,4.442651256490317,135000.0,11.813030057420567,100.0,VA,0%-20%,2,1,386032
2019,549300WUGYTMN4HIT493,IL,17089.0,17089851905.0,1,0,0_White,Female,179.0,5.187385805840755,175000.0,12.072541252905651,95.0,Conventional,43,1,1,93853
2019,C398JSK21YCXWM603F55,IL,17111.0,17111870402.0,1,0,0_White,0_Male,58.0,4.060443010546419,165000.0,12.013700752882718,95.0,Conventional,39,2,1,219231
2019,549300RPOGWJRH63HS39,IL,17197.0,17197880310.0,1,0,Asian,Female,143.0,4.962844630259907,265000.0,12.487485104968359,90.0,Conventional,39,2,1,559632
2019,5493000NYUJT9UC6G261,IL,17031.0,17031814300.0,0,1,Latinx,0_Male,44.0,3.784189633918261,165000.0,12.013700752882718,96.237,FHA,49,2,1,391184
2019,549300KW705BBINDIZ26,IL,17081.0,17081050900.0,0,1,0_White,0_Male,13.0,2.5649493574615367,75000.0,11.225243392518447,95.968,VA,>60%,2,1,332586
2019,KV8W1JTB8FZ821S5ED75,IL,17197.0,17197883510.0,1,0,0_White,0_Male,129.0,4.859812404361672,315000.0,12.66032791780777,90.0,Conventional,43,2,1,320738
2019,549300LBCBNR1OT00651,IL,17031.0,17031824122.0,1,0,Latinx,0_Male,130.0,4.867534450455582,155000.0,11.951180395901384,80.0,Conventional,30%-<36%,2,1,543503
2019,549300AG64NHILB7ZP05,IL,17093.0,17093890101.0,1,0,0_White,Female,35.0,3.5553480614894135,135000.0,11.813030057420567,96.5,FHA,46,2,1,533779
2019,549300AG64NHILB7ZP05,IL,17031.0,17031241100.0,1,0,0_White,0_Male,168.0,5.123963979403259,455000.0,13.028052697933088,65.0,Conventional,20%-<30%,2,1,534673
2019,C398JSK21YCXWM603F55,IL,17043.0,17043843302.0,1,0,0_White,Female,108.0,4.68213122712422,315000.0,12.66032791780777,96.5,FHA,42,2,1,214999
2019,549300BNF25IPYUUCT31,IL,17031.0,17031050200.0,1,0,0_White,Female,280.0,5.634789603169249,395000.0,12.886641043883259,89.9,Conventional,20%-<30%,2,1,392740
2019,549300BRJZYHYKT4BJ84,IL,17111.0,17111870807.0,1,0,Latinx,0_Male,93.0,4.532599493153256,165000.0,12.013700752882718,80.0,Conventional,38,2,1,89425
